Número de Pregunta,Tópico,Enunciado de la Pregunta,Alternativa A,Alternativa B,Alternativa C,Alternativa D,Respuesta Correcta,Justificación Técnica
11,Tópico 3: Magnitudes y Señales,"Al diseñar la adquisición de datos de un sensor analógico frente a uno digital, un ingeniero analiza el fenómeno del muestreo. ¿Qué limitación matemática intrínseca posee una señal digitalizada en comparación con una señal analógica pura de planta?",La señal digital sufre de un error de cuantización debido a que los niveles analógicos continuos deben aproximarse a valores discretos finitos.,La señal digital pierde potencia de voltaje exponencialmente con la distancia geométrica del cableado eléctrico de cobre.,Las señales digitales no pueden procesar variables físicas de respuesta rápida como la presión de impacto hidráulico.,La señal digital requiere de un conductor físico blindado de oro de alta pureza para no alterar su frecuencia binaria.,A,"Cualquier conversión de analógico a digital (ADC) implica una discretización tanto en tiempo como en amplitud, lo que genera un error de cuantización inherente que no posee la señal continua analógica."
12,Tópico 4: Norma ISA 5.1 (Tagging),"En una sección crítica de una refinería se ubica un instrumento cuya etiqueta física dice 'FQIT-501'. Evaluando detalladamente los códigos de letras de la norma ISA 5.1, ¿cuál es la función de este componente?","Transmisor, indicador de caudal en el lazo 501",Controlador diferencial de temperatura con enclavamiento lógico,Sensor indicador de frecuencia eléctrica en líneas de potencia de planta,Indicador cualitativo de flujo de gases pesados combustibles,A,La primera letra 'F' representa Caudal (Flow) Las siguientes letras 'I' y 'T' significan Indicador y Transmisor.
13,Tópico 4: Norma ISA 5.1 (Tagging),Un plano P&ID muestra un círculo con una única línea horizontal continua que cruza su centro de extremo a extremo. ¿Qué le indica esta simbología gráfica al técnico montajista sobre la accesibilidad del instrumento?,El instrumento está instalado en el panel de control principal o consola y es totalmente accesible al operador de planta.,El instrumento está enterrado o montado directamente en la cañería de campo sin acceso visual directo.,"El dispositivo se encuentra montado detrás del tablero de control, siendo inaccesible durante la operación normal.",Representa una función de software interna de un sistema de control distribuido inaccesible físicamente.,A,"Según ISA 5.1, un círculo con una línea horizontal continua central denota un instrumento montado en un panel central o sala de control, accesible para el operador."
14,Tópico 5: Escalamiento Analógico,"Un transmisor analógico de temperatura configurado de -50 °C a 150 °C envía una señal de corriente hacia un PLC. Si el canal de entrada analógica del PLC mide exactamente 8.8 mA, ¿cuál es el valor de la temperatura en grados Celsius que se está registrando en el proceso?",10.0 °C,5.0 °C,15.5 °C,0.0 °C,A,Rango de corriente: 20 - 4 = 16 mA. Corriente neta sobre el cero vivo: 8.8 - 4 = 4.8 mA. Porcentaje del rango: 4.8 / 16 = 0.3 (30%). Rango de temperatura: 150 - (-50) = 200 °C. Incremento de temperatura: 200 * 0.3 = 60 °C. Temperatura final = Mínimo + incremento = -50 + 60 = 10.0 °C.
15,Tópico 5: Escalamiento Analógico,"Se dispone de un sistema de adquisición que escala una señal analógica de caudal de 4-20 mA. El rango del sensor de flujo es de 10 m³/h a 110 m³/h. Si ocurre una rotura de cañería y el flujo real cae a cero m³/h (por debajo del límite inferior del instrumento), ¿qué corriente teórica de salida intentaría generar idealmente el transmisor si mantuviese su linealidad matemática matemática descendente?",2.4 mA,4.0 mA,0.0 mA,1.6 mA,A,La pendiente matemática es m = (20 - 4) / (110 - 10) = 16 / 100 = 0.16 mA por cada m³/h. La ecuación de la recta es I = 4 + 0.16 * (Caudal - 10). Para un caudal de 0 m³/h: I = 4 + 0.16 * (0 - 10) = 4 - 1.6 = 2.4 mA.
16,Tópico 2: Conceptos y Lazos,"Un biorreactor opera con un volumen fijo de 500,000 mililitros (ml) de cultivo orgánico. Si se genera una perturbación térmica externa que eleva la temperatura interna de 290 Kelvin a 298 Kelvin, ¿en cuántos grados Celsius se incrementó la temperatura de la variable controlada del proceso?",8.0 °C,28.0 °C,15.0 °C,32.0 °C,A,"Una diferencia o incremento de temperatura en la escala Kelvin posee exactamente la misma magnitud numérica que en la escala Celsius. Por lo tanto, 298 K - 290 K = 8 Kelvin de incremento, que equivale a un delta de 8.0 °C."
17,Tópico 3: Magnitudes y Señales,Se tiene un sensor de proximidad inductivo digital instalado en una faja transportadora de latas metálicas y un sensor ultrasónico analógico midiendo la distancia de llenado de una caja. ¿Cuál de los dos sensores permite determinar con exactitud matemática el perfil de desplazamiento continuo del objeto en milímetros y por qué?,"El sensor ultrasónico analógico, debido a que su señal de salida varía de forma continua y proporcional a la distancia física real medible del objeto.","El sensor inductivo digital, porque al entregar estados booleanos binarios elimina los errores provocados por la velocidad de la faja.","Ambos sensores por igual, ya que la automatización moderna ecualiza las señales analógicas y digitales en el bus de campo.","Ninguno, ya que para medir desplazamientos continuos milimétricos se requiere obligatoriamente un lazo neumático puro de 3-15 psi.",A,"Los sensores analógicos varían su salida continuamente en relación directa con la variable física medida, permitiendo rastrear posiciones dinámicas exactas, a diferencia de un sensor inductivo digital que solo detecta presencia/ausencia (On/Off)."
18,Tópico 2: Conceptos y Lazos,"Una torre de destilación requiere mantener la temperatura de fondo a un Set Point de 368.15 Kelvin. Debido a variaciones bruscas en la presión atmosférica local, se registra un error del sistema de +12.0 °C (medida por encima del Set Point). Calcule el valor absoluto actual que registra el sensor en grados Celsius.",107.0 °C,95.0 °C,83.0 °C,112.0 °C,A,"Se convierte el Set Point a Celsius: 368.15 K - 273.15 = 95.0 °C. Si el error es SP - PV = -12 °C (o la variable de proceso está +12 °C por encima del SP), el valor de PV es: 95.0 °C + 12.0 °C = 107.0 °C."
19,Tópico 3: Magnitudes y Señales,"Se evalúa el comportamiento dinámico de un lazo ante ruidos de línea. Si un cable de señal analógica de 4-20 mA y un cable de señal digital por pulsos (0 o 24 VCC) cruzan cerca de un motor síncrono de alta potencia, ¿cuál de las señales sufrirá una degradación directa en la precisión de la lectura y por qué?","La señal analógica, ya que cualquier inducción de voltaje residual altera de forma continua el valor de corriente proporcional interpretado por el PLC, mientras que la digital discrimina el ruido si este no supera el umbral lógico.","La señal digital, porque los pulsos lógicos binarios se atenúan exponencialmente ante campos magnéticos constantes perdiendo su sincronía de reloj.",Ambas señales se degradan de forma matemática idéntica debido a que comparten el mismo blindaje de cobre en el bus de campo de planta.,La señal analógica no sufre afectación debido a que su cero vivo de 4 mA absorbe por completo las armónicas espurias de alta frecuencia.,A,Las señales analógicas son inherentemente susceptibles al ruido electromagnético debido a que cualquier pequeña variación de corriente o voltaje representa un cambio real en la variable medida. Las digitales poseen márgenes de ruido (umbrales lógicos) que protegen los estados 0 y 1.
20,Tópico 4: Norma ISA 5.1 (Tagging),"En las líneas de vapor de alta presión de una central termoeléctrica, se instala un instrumento de seguridad con la nomenclatura física 'PSV-204'. Según la norma ISA 5.1, ¿cuál es la función de este componente?",Válvula de seguridad por presión,Transmisor de velocidad y presión diferencial,Sensor variable de purga de fluidos condensados,Controlador indicador de succión en vacío,A,La primera letra 'P' representa la variable Presión (Pressure). La segunda letra 'S' actúa como modificador de función indicando Seguridad (Safety). La tercera letra 'V' define que el elemento final es una Válvula.
21,Tópico 4: Norma ISA 5.1 (Tagging),Un técnico revisa la lista de tags de instrumentación y observa el código 'TE-101'. ¿A qué componente físico real del lazo corresponde esta identificación de acuerdo con la norma ISA 5.1?,Elemento primario de temperatura,Transmisor electrónico de energía térmica,Extractor centrífugo de gases calientes en planta,Indicador digital de tensión de escala extendida,A,"La primera letra 'T' indica la variable Temperatura. La segunda letra 'E' identifica al 'Elemento primario' de medición (sensor desnudo, termo-resistencia o termopar), el cual interactúa directamente con el proceso de planta."
22,Tópico 5: Escalamiento Analógico,"Un transmisor de presión con un rango de trabajo de -1 a 9 bar genera una señal analógica estandarizada de 4 a 20 mA. Si el instrumento se conecta a un manómetro patrón de calibración y entrega una lectura eléctrica de 7.2 mA, ¿qué presión en bar está soportando el sensor?",1.0 bar,2.0 bar,0.5 bar,1.5 bar,A,El rango eléctrico total es de 16 mA (20 - 4). La corriente neta medida sobre el cero vivo es 7.2 - 4 = 3.2 mA. El porcentaje del rango es 3.2 / 16 = 0.2 (20%). El rango de presión total es de 10 bar (9 - (-1)). El incremento es 10 * 0.2 = 2 bar. Presión final = Valor mínimo + incremento = -1 + 2 = 1.0 bar.
23,Tópico 5: Escalamiento Analógico,"La entrada analógica de un controlador industrial de 0 a 10 VCC procesa la señal de un flujómetro lineal cuyo rango es de 0 a 1200 litros/hora. Si el algoritmo interno del PLC requiere activar una alarma cuando el flujo real sea exactamente de 150 ml/s, ¿cuál debe ser el valor de voltaje umbral configurado en el canal?",4.50 VCC,5.00 VCC,3.75 VCC,6.25 VCC,A,Primero se convierte la condición de alarma a las unidades del rango del sensor: 150 ml/s = 0.15 l/s. Multiplicando por 3600 segundos que tiene una hora: 0.15 * 3600 = 540 l/h. Calculando el voltaje proporcional: Voltaje = (540 / 1200) * 10 V = 0.45 * 10 = 4.50 VCC.
24,Tópico 1: Introducción,¿Qué característica intrínseca de la automatización industrial impacta directamente en la reducción de costos operativos dentro de una planta de embotellado de bebidas a gran escala?,La minimización drástica de las mermas de materia prima mediante la repetibilidad milimétrica en los lazos cerrados de dosificación.,La eliminación absoluta de la necesidad de calibrar sensores mecánicos y elementos analógicos de campo.,La reducción obligatoria del diámetro físico de todas las tuberías de proceso que transportan fluidos pesados.,La capacidad de operar de forma indefinida omitiendo los protocolos estándar de mantenimiento predictivo.,A,"La automatización reduce costos al optimizar el uso de insumos, disminuir errores humanos y garantizar que cada ciclo de llenado sea idéntico (repetibilidad), reduciendo el desperdicio o merma de producto."
25,Tópico 2: Conceptos y Lazos,"Un lazo de control automático regula el llenado de un tanque cúbico. El sistema cuenta con un transmisor analógico de nivel que reporta la altura, un PLC que calcula la acción y una válvula proporcional. Si una obstrucción física en la cañería de alimentación impide que el fluido entre al tanque a pesar de que la válvula está abierta al 100%, ¿cómo responde la acción del controlador?","El error (SP - PV) aumenta de forma continua, provocando que el controlador sature su salida tratando de compensar una perturbación invencible.",El controlador detiene su algoritmo de cálculo de forma instantánea para proteger la integridad física de la bomba de llenado.,La variable manipulada disminuye automáticamente a 0 mA de corriente para forzar un balance térmico en la planta.,El Set Point se ajusta de forma dinámica reduciendo su valor numérico hasta igualar la lectura estática del sensor.,A,"Al no recibir retroalimentación del cambio de la variable de proceso debido a la obstrucción física (perturbación/falla), el controlador incrementa al máximo su salida en un intento estéril de eliminar el error acumulado, cayendo en saturación."
26,Tópico 2: Conceptos y Lazos,"Un lazo de dosificación bombea un caudal constante de reactivo químico líquido. Si se requiere transferir un volumen neto de 0.018 m³ hacia un mezclador industrial empleando un intervalo exacto de 40 segundos, ¿cuál debe ser el valor nominal del caudal que registre el medidor expresado en litros por minuto (l/min)?",27.0 l/min,18.0 l/min,36.0 l/min,45.0 l/min,A,"El volumen es 0.018 m³ = 18 litros. Si este volumen debe pasar en 40 segundos, el caudal por segundo es 18 l / 40 s = 0.45 litros por segundo. Para convertirlo a minutos, se multiplica por 60 segundos: 0.45 * 60 = 27.0 litros por minuto (l/min)."
27,Tópico 3: Magnitudes y Señales,"Se analiza el comportamiento de un lazo analógico clásico de 4-20 mA frente a un lazo digital binario (0/1). Si la línea de transmisión sufre un corte físico completo del cable de cobre conductor, ¿cómo detecta cada sistema la presencia de la falla?","El lazo analógico cae a 0 mA detectando instantáneamente la anomalía gracias al cero vivo (4 mA), mientras que el lazo digital simple puede confundir la ausencia de voltaje con un estado lógico '0' permanente.","El lazo digital cambia automáticamente a una frecuencia de respaldo hidráulico, mientras que el analógico requiere una inspección visual en campo.","El lazo analógico confunde el corte con el valor mínimo medido (0%), mientras que el digital genera un pulso infinito de corriente de cortocircuito.",Ambos sistemas confunden de forma matemática la falla con el Set Point de operación debido a la falta de alimentación balanceada.,A,"El estándar analógico de 4-20 mA emplea un ""cero vivo"" (4 mA representa el 0% de la variable). Si el cable se corta, la corriente cae a 0 mA, lo que permite al PLC diferenciar un valor mínimo de una falla. Un lazo digital básico On/Off sin diagnóstico lee 0 V, lo que equivale a un estado lógico desactivado común."
28,Tópico 4: Norma ISA 5.1 (Tagging),Un plano P&ID detalla un círculo que posee una línea horizontal discontinua (punteada) en su zona central interna. ¿Qué característica física de instalación define este símbolo bajo la norma ISA 5.1?,"El instrumento está montado detrás del panel de control o tablero principal, siendo inaccesible directamente para el operador.",El dispositivo está instalado directamente en campo montado sobre la brida de una tubería principal.,El instrumento cuenta con una conexión de comunicación digital inalámbrica redundante de alta frecuencia.,Representa un lazo auxiliar de control neumático fuera de servicio operativo por razones de diseño.,A,"Un círculo con una línea horizontal discontinua o intermitente en su centro representa un instrumento montado en una ubicación oculta o auxiliar (detrás del panel), no accesible directamente para las maniobras rutinarias del operador."
29,Tópico 5: Escalamiento Analógico,"Un transmisor analógico de nivel ultrasónico posee un rango de operación de 0 a 5 metros y una salida de 4 a 20 mA. El sensor está instalado sobre un estanque cilíndrico de almacenamiento. Si la corriente medida en el lazo es de 12.0 mA exactos, ¿qué altura de líquido reporta el transmisor?",2.5 metros,2.0 metros,3.0 metros,1.8 metros,A,"12.0 mA representa el punto medio exacto del rango de corriente de 4 a 20 mA (puesto que 12 - 4 = 8 mA, y el rango total es 16 mA; 8/16 = 50%). Por lo tanto, la altura es el 50% del rango de medición de 0 a 5 metros, lo que equivale a 2.5 metros."
30,Tópico 5: Escalamiento Analógico,"Un transductor de temperatura de rango extendido (-100 °C a 300 °C) entrega una salida lineal de 0 a 10 VCC. Si el sensor se sumerge en una solución criogénica y el voltímetro registra una salida de 1.5 VCC, ¿cuál es la temperatura del proceso expresada en Kelvin?",233.15 K,-40.00 K,313.15 K,193.15 K,A,Rango total de temperatura = 300 - (-100) = 400 °C. Porcentaje del rango eléctrico = 1.5 V / 10 V = 0.15 (15%). Incremento de temperatura = 400 * 0.15 = 60 °C. Temperatura en Celsius = Valor mínimo + incremento = -100 + 60 = -40 °C. Conversión a Kelvin: -40 + 273.15 = 233.15 K.
31,Tópico 1: Introducción,"Durante los primeros desarrollos de la instrumentación industrial a mediados del siglo XX, ¿cuál fue la principal limitación operativa que impulsó la transición de sistemas de control neumáticos (3-15 psi) a sistemas electrónicos analógicos (4-20 mA)?",El retardo de propagación de la señal de aire a largas distancias y el alto costo de mantenimiento por fugas y deshumidificación del aire comprimido.,La imposibilidad absoluta de las señales neumáticas para accionar actuadores mecánicos de gran diámetro en campo.,El peligro de cortocircuito eléctrico por arco voltáico que presentaban las líneas de aire comprimido húmedo.,La falta de linealidad matemática elemental en las ecuaciones físicas de presión hidrostática de gases nobles.,A,"Las señales neumáticas sufren retardos significativos cuando las distancias entre el campo y la sala de control superan el centenar de metros debido a la compresibilidad del aire. Además, exigen sistemas complejos de filtrado y secado para evitar la corrosión de los pequeños capilares de los instrumentos."
32,Tópico 2: Conceptos y Lazos,"Un lazo de control de caudal en lazo abierto opera una bomba dosificadora fijando la velocidad del motor basándose únicamente en una tabla teórica de calibración. Si el fluido incrementa su viscosidad debido a una caída de temperatura externa, ¿cómo se ve afectada la variable controlada?","El caudal real disminuye significativamente respecto al esperado, ya que el sistema en lazo abierto carece de un sensor que mida la desviación real y retroalimente al controlador para ajustar la potencia.",El controlador incrementa automáticamente el voltaje del motor para vencer la resistencia mecánica del fluido pesado.,El Set Point se eleva matemáticamente para compensar el esfuerzo del rotor de la bomba de planta.,La variable manipulada sufre una oscilación senoidal amortiguada que auto-estabiliza el volumen del fluido.,A,"Al no poseer un lazo cerrado con un elemento de medición (sensor de flujo) que verifique el estado real del proceso (retroalimentación), el sistema no detecta que el cambio en la viscosidad (perturbación) redujo el caudal real, manteniendo la orden estática invariable."
33,Tópico 2: Conceptos y Lazos,"El sistema de enfriamiento de un reactor químico regula la circulación de agua helada. Si el lazo de control se encuentra balanceado a un Set Point de 285.15 Kelvin y una súbita reacción exotérmica inyecta calor elevando la temperatura de la planta en 12.5 grados Celsius, ¿cuál es el nuevo valor de temperatura medida expresado en la escala Celsius?",24.5 °C,12.5 °C,35.0 °C,19.5 °C,A,"Se convierte el Set Point a Celsius: 285.15 K - 273.15 = 12.0 °C. Dado que un incremento de 12.5 °C es numéricamente idéntico en magnitud a un incremento en Kelvin, la nueva temperatura medida será: 12.0 °C + 12.5 °C = 24.5 °C."
34,Tópico 3: Magnitudes y Señales,Un ingeniero automatiza una prensa hidráulica y decide muestrear la señal de un transductor mediante un canal digital de alta velocidad frente a un registrador analógico continuo en papel. ¿Qué propiedad exclusiva define al registro analógico respecto al procesamiento digitalizado de datos?,El registro analógico mantiene una resolución infinita en el tiempo y en la amplitud de la variable física sin sufrir distorsiones por aliasing o truncamiento numérico.,Los instrumentos analógicos permiten almacenar los históricos directamente en bases de datos relacionales sin requerir interfaces de red.,La señal analógica se procesa mediante compuertas lógicas síncronas que eliminan los retardos de propagación del cobre.,El canal analógico convierte automáticamente los datos a código ASCII binario para facilitar el diagnóstico de fallas en campo.,A,"La naturaleza analógica es matemáticamente continua. Al graficar directamente la variable física de forma analógica, no existe discretización temporal (muestreo) ni de amplitud (cuantización), características propias del procesamiento digital."
35,Tópico 4: Norma ISA 5.1 (Tagging),"En los diagramas de instrumentación de un sistema de distribución de gas licuado de petróleo (GLP), se especifica una válvula accionada bajo la designación 'FV-102'. De acuerdo con la norma ISA 5.1, ¿cuál es el significado de este Tag?",Válvula de control de caudal,Transmisor indicador de vacío mecánico,Filtro volumétrico de alta presión en campo,Válvula solenoide de desconexión por frecuencia,A,La primera letra 'F' identifica que la variable del proceso que se está manipulando o controlando es el Caudal o Flujo (Flow). La segunda letra 'V' define formalmente al instrumento como una Válvula.
36,Tópico 4: Norma ISA 5.1 (Tagging),"Se analiza el Tag de instrumentación 'LIT-205' dispuesto en un plano técnico. Evaluando exclusivamente el significado de sus códigos de letras bajo la norma ISA 5.1, ¿cuál es la descripción de las funciones integradas en este dispositivo?",Transmisor indicador de nivel,Controlador limitador de intensidad térmica,Transmisor interactivo de lazo de inducción,Indicador lógico de llenado de volumen seco,A,La primera letra 'L' representa la variable Nivel (Level). Las letras sucesivas denotan las funciones incorporadas: 'I' para Indicación (función de lectura pasiva) y 'T' para Transmisión (función de salida activa).
37,Tópico 5: Escalamiento Analógico,"Un transmisor analógico de nivel industrial genera una señal de salida de 4 a 20 mA proporcional a un rango de medición de 0.5 a 4.5 metros. Si el PLC detecta una lectura analógica de entrada de 14.4 mA, ¿cuál es el nivel calculado en el proceso?",3.10 metros,2.50 metros,2.90 metros,3.50 metros,A,Rango eléctrico = 20 - 4 = 16 mA. Corriente neta sobre el cero vivo = 14.4 - 4 = 10.4 mA. Porcentaje del rango = 10.4 / 16 = 0.65 (65%). Rango físico = 4.5 - 0.5 = 4.0 metros. Incremento de nivel = 4.0 * 0.65 = 2.6 metros. Nivel final = Valor mínimo + incremento = 0.5 + 2.6 = 3.10 metros.
38,Tópico 5: Escalamiento Analógico,Se calibra un lazo analógico de presión que opera de 0 a 60 bar con una señal de 0 a 10 VCC. El sistema sufre una avería y la señal de voltaje de salida se queda fija en 8.5 Voltios debido a una descalibración interna del transductor. Determine el error de lectura en bar si la presión real del proceso medida con un manómetro de precisión es de 50.0 bar.,1.0 bar,2.0 bar,1.5 bar,0.5 bar,A,Voltaje para presión real de 50 bar: V = (50 / 60) * 10 = 8.333 V. Presión calculada teóricamente por el PLC con la señal errónea de 8.5 V: P = (8.5 / 10) * 60 = 51.0 bar. El error absoluto entre la lectura interpretada y el valor real del proceso es: 51.0 bar - 50.0 bar = 1.0 bar.
39,Tópico 1: Introducción,"Al revisar las aplicaciones de la instrumentación industrial en el sector de generación eléctrica, ¿cuál es la función prioritaria de un lazo de control automático dispuesto en el sistema de agua de alimentación de una caldera de alta presión?",Regular de forma continua el balance de masa para evitar daños mecánicos estructurales en los tubos debido a sobrecalentamiento o inundación.,Modificar la conductividad iónica del cobre de las líneas de transporte de alta tensión de la subestación de planta.,Eliminar el uso de transformadores de potencial mediante la acción directa de sensores analógicos de proximidad.,Variar la frecuencia eléctrica de los alternadores principales utilizando señales neumáticas estandarizadas de 3-15 psi.,A,"En calderas de potencia, el control preciso del nivel y flujo de agua de alimentación es una operación crítica de seguridad y eficiencia; un nivel bajo causa sobrecalentamiento y rotura de tubos, mientras que un nivel excesivo provoca arrastre de líquido hacia las turbinas causando daños catastróficos."
40,Tópico 3: Magnitudes y Señales,"Se instrumenta un tanque con dos dispositivos de alarma de nivel máximo: un interruptor de flotador mecánico digital (contacto seco On/Off) y un sensor hidrostático analógico de presión (4-20 mA). Si el proceso experimenta oleaje interno violento debido a un agitador mecánico, ¿cuál dispositivo presentará falsas alarmas repetitivas intermitentes y cómo se mitiga técnicamente desde el PLC?",El interruptor digital flotador conmutará erráticamente de forma continua; se mitiga programando un temporizador de retardo a la conexión (filtro de histéresis digital) en la lógica del PLC.,El sensor analógico bloqueará su salida a 4 mA fijos; se mitiga aumentando el diámetro de la tubería de suministro de aire de la planta.,Ambos instrumentos detendrán su operación electrónica debido a que el ruido mecánico induce armónicas destructivas en el blindaje físico.,El sensor analógico multiplicará su rango por diez; se mitiga convirtiendo la señal analógica a una señal neumática de 3-15 psi de forma obligatoria.,A,"Los interruptores mecánicos On/Off sufren con el oleaje intermitente ya que abren y cierran sus contactos con cada cresta de la ola (falsos positivos). Esto se soluciona en el código del PLC mediante retardos de tiempo (debouncing) o filtros lógicos, mientras que en el analógico se pueden aplicar filtros de promedio móvil o amortiguación (damping) electrónica."
